,points,province,variety
5,87,Northern Spain,Tempranillo-Merlot
18,87,Northern Spain,Tempranillo Blend
154,91,Central Spain,Graciano
244,85,Northern Spain,Red Blend
287,92,Catalonia,Carignan-Grenache
339,82,Catalonia,Sparkling Blend
342,82,Catalonia,Sparkling Blend
426,89,Northern Spain,Tempranillo
438,89,Northern Spain,Mencía
490,87,Catalonia,Sparkling Blend
496,87,Northern Spain,Verdejo
500,87,Northern Spain,Rosé
505,87,Northern Spain,Tempranillo
556,93,Northern Spain,Tempranillo
604,87,Northern Spain,Red Blend
635,92,Northern Spain,Viura
667,90,Levante,Garnacha Tintorera
680,90,Northern Spain,Tempranillo Blend
754,87,Northern Spain,Viura
762,87,Northern Spain,Verdejo
763,87,Northern Spain,Verdejo-Viura
767,87,Northern Spain,Tempranillo
809,90,Central Spain,Tempranillo
821,86,Catalonia,Sparkling Blend
836,86,Catalonia,Sparkling Blend
837,86,Catalonia,Sparkling Blend
876,90,Catalonia,Red Blend
881,90,Catalonia,Red Blend
900,90,Catalonia,Red Blend
989,88,Northern Spain,Tempranillo Blend
1028,88,Northern Spain,Mencía
1031,88,Northern Spain,Tempranillo
1042,85,Northern Spain,Red Blend
1051,85,Galicia,White Blend
1053,85,Northern Spain,Tempranillo Blend
1110,90,Northern Spain,Tempranillo
1111,90,Catalonia,Sparkling Blend
1115,90,Northern Spain,Tempranillo
1257,88,Northern Spain,Tempranillo
1259,85,Central Spain,Tempranillo
1269,85,Galicia,Albariño
1280,84,Central Spain,Tempranillo
1281,84,Northern Spain,Tempranillo
1305,89,Andalucia,Sherry
1306,89,Catalonia,Cabernet Sauvignon
1357,86,Northern Spain,Garnacha
1358,86,Northern Spain,Tempranillo Blend
1701,86,Northern Spain,Sauvignon
1708,86,Northern Spain,Verdejo
1711,85,Northern Spain,Verdejo
1718,85,Catalonia,Moscatel
1720,85,Central Spain,Verdejo
1721,85,Northern Spain,White Blend
1722,85,Galicia,White Blend
1726,92,Northern Spain,Tempranillo
1753,84,Northern Spain,Tempranillo Blend
1755,84,Catalonia,Sparkling Blend
1764,84,Catalonia,Garnacha
1782,91,Catalonia,Red Blend
1828,84,Levante,Red Blend
1835,84,Northern Spain,Tempranillo Blend
1846,83,Northern Spain,Verdejo
1847,83,Northern Spain,Garnacha
1848,83,Central Spain,Garnacha
1854,83,Northern Spain,Garnacha
1898,89,Catalonia,Bordeaux-style Red Blend
1906,89,Spanish Islands,Red Blend
1988,85,Levante,Monastrell-Syrah
2001,84,Central Spain,Syrah
2135,85,Catalonia,Sparkling Blend
2179,90,Catalonia,Sparkling Blend
2181,90,Northern Spain,Tempranillo Blend
2284,85,Galicia,Albariño
2285,85,Northern Spain,Tinta de Toro
2309,90,Northern Spain,Tempranillo Blend
2356,88,Northern Spain,Red Blend
2469,90,Andalucia,Sherry
2470,90,Northern Spain,Tempranillo Blend
2508,95,Northern Spain,Tempranillo Blend
2531,89,Northern Spain,Tempranillo
2534,89,Northern Spain,Tinta Fina
2549,89,Northern Spain,Tempranillo
2683,90,Northern Spain,Tempranillo
2767,84,Northern Spain,Red Blend
2806,87,Northern Spain,Tempranillo
2821,86,Northern Spain,Tempranillo Blend
2864,91,Northern Spain,Tempranillo
2901,86,Northern Spain,Tempranillo
2907,86,Northern Spain,Garnacha
2911,86,Northern Spain,Tempranillo
2913,86,Northern Spain,Tempranillo Blend
2916,86,Catalonia,Red Blend
2960,86,Northern Spain,Tempranillo
2962,86,Northern Spain,Verdejo
2970,85,Central Spain,Tempranillo-Cabernet Sauvignon
3002,91,Catalonia,Red Blend
3012,92,Northern Spain,Tinta de Toro
3021,92,Northern Spain,Tempranillo
3027,92,Northern Spain,Tempranillo
3040,88,Catalonia,Sparkling Blend
3098,88,Central Spain,Verdejo
3132,83,Northern Spain,White Blend
3154,89,Northern Spain,Tempranillo
3210,88,Northern Spain,Maturana
3211,88,Catalonia,Red Blend
3213,88,Catalonia,Red Blend
3216,88,Catalonia,Garnacha
3224,88,Northern Spain,Tempranillo
3231,88,Galicia,Albariño
3237,88,Northern Spain,White Blend
3299,87,Levante,Red Blend
3302,87,Catalonia,Pinot Noir
3312,87,Catalonia,Sparkling Blend
3318,87,Catalonia,White Blend
3321,87,Northern Spain,Graciano
3329,87,Northern Spain,Verdejo-Viura
3341,84,Galicia,Albariño
3358,84,Northern Spain,Garnacha
3359,92,Northern Spain,Tempranillo
3385,92,Northern Spain,Red Blend
3410,83,Galicia,Albariño
3471,88,Northern Spain,Tempranillo Blend
3614,86,Northern Spain,Tempranillo
3692,91,Northern Spain,Garnacha
3697,91,Northern Spain,Mencía
3709,91,Northern Spain,Mencía
3718,88,Northern Spain,Tempranillo
3720,88,Galicia,Albariño
3728,86,Catalonia,Sparkling Blend
3737,86,Catalonia,Sparkling Blend
3805,88,Catalonia,Sparkling Blend
3808,88,Northern Spain,Tempranillo
3821,93,Northern Spain,Red Blend
3885,86,Catalonia,Syrah-Grenache
3887,86,Central Spain,Tempranillo
3890,86,Galicia,White Blend
3895,86,Northern Spain,Garnacha
3897,86,Levante,Red Blend
3935,83,Northern Spain,Garnacha
3944,83,Northern Spain,Tempranillo-Merlot
3953,83,Northern Spain,Red Blend
3998,88,Northern Spain,Tempranillo
4000,88,Northern Spain,Tinta de Toro
4016,88,Catalonia,Sparkling Blend
4285,85,Catalonia,Sparkling Blend
4314,89,Northern Spain,Tempranillo Blend
4321,89,Andalucia,Sherry
4329,88,Andalucia,Sherry
